as_of_date,source,company_name,epic,ticker,sector,icb_sector,index_weight,weight_rank
2025-12-19,Wikipedia:FTSE_100_Index,Smiths Group,SMIN,SMIN.L,Industrials,General industrials,0.0036707559902381497,68
2025-12-19,Wikipedia:FTSE_100_Index,Centrica,CNA,CNA.L,Utilities,Multiline utilities,0.003610466178163528,69
2025-12-19,Wikipedia:FTSE_100_Index,International Airlines Group,IAG,IAG.L,Consumer Discretionary,Travel & leisure,0.003551906431727833,70
2025-12-19,Wikipedia:FTSE_100_Index,Vodafone Group,VOD,VOD.L,Communication Services,Mobile telecommunications,0.0034950063982327785,71
2025-12-19,Wikipedia:FTSE_100_Index,Antofagasta plc,ANTO,ANTO.L,Materials,Mining,0.0034396994073964196,72
2025-12-19,Wikipedia:FTSE_100_Index,Associated British Foods,ABF,ABF.L,Consumer Staples,Food & tobacco,0.0033859222366406185,73
2025-12-19,Wikipedia:FTSE_100_Index,Schroders,SDR,SDR.L,Financials,Financial services,0.0033336148939500953,74
2025-12-19,Wikipedia:FTSE_100_Index,Hiscox,HSX,HSX.L,Financials,Non-life Insurance,0.003282720416796697,75
2025-12-19,Wikipedia:FTSE_100_Index,Autotrader Group,AUTO,AUTO.L,Communication Services,Media,0.0032331846857675973,76
2025-12-19,Wikipedia:FTSE_100_Index,Endeavour Mining,EDV,EDV.L,Materials,Precious Metals and Mining,0.003184956251665828,77
2025-12-19,Wikipedia:FTSE_100_Index,Rolls-Royce Holdings,RR,RR.L,Industrials,Aerospace & defence,0.003137986174967474,78
2025-12-19,Wikipedia:FTSE_100_Index,Hikma Pharmaceuticals,HIK,HIK.L,Health Care,Pharmaceuticals & biotechnology,0.0030922278766237414,79
2025-12-19,Wikipedia:FTSE_100_Index,Metlen Energy & Metals,MTLN,MTLN.L,Utilities,Multiline utilities,0.0030476369992892675,80
2025-12-19,Wikipedia:FTSE_100_Index,Coca-Cola Europacific Partners,CCEP,CCEP.L,Consumer Staples,Beverages,0.003004171278141664,81
2025-12-19,Wikipedia:FTSE_100_Index,M&G,MNG,MNG.L,Financials,Financial services,0.002961790420532523,82
2025-12-19,Wikipedia:FTSE_100_Index,LondonMetric Property,LMP,LMP.L,Financials,Real Estate Investment Trusts,0.002920455993777791,83
2025-12-19,Wikipedia:FTSE_100_Index,Admiral Group,ADM,ADM.L,Financials,Insurance,0.002880131320456431,84
2025-12-19,Wikipedia:FTSE_100_Index,Segro,SGRO,SGRO.L,Financials,Real estate investment trusts,0.0028407813806413493,85
2025-12-19,Wikipedia:FTSE_100_Index,Glencore,GLEN,GLEN.L,Materials,Mining,0.0028023727205362726,86
2025-12-19,Wikipedia:FTSE_100_Index,SSE plc,SSE,SSE.L,Utilities,Electrical utilities & independent power producers,0.0027648733670372467,87
2025-12-19,Wikipedia:FTSE_100_Index,Howdens Joinery,HWDN,HWDN.L,Consumer Discretionary,Homebuilding & construction supplies,0.002728252747778097,88
2025-12-19,Wikipedia:FTSE_100_Index,Coca-Cola HBC,CCH,CCH.L,Consumer Staples,Beverages,0.0026924816162561243,89
2025-12-19,Wikipedia:FTSE_100_Index,Tesco,TSCO,TSCO.L,Consumer Staples,Food & drug retailing,0.0026575319816677127,90
2025-12-19,Wikipedia:FTSE_100_Index,F & C Investment Trust,FCIT,FCIT.L,Financials,Collective investments,0.0026233770431139725,91
2025-12-19,Wikipedia:FTSE_100_Index,Pershing Square Holdings,PSH,PSH.L,Financials,Financial services,0.0025899911278641024,92
2025-12-19,Wikipedia:FTSE_100_Index,Babcock International,BAB,BAB.L,Industrials,Aerospace & defence,0.0025573496333893184,93
2025-12-19,Wikipedia:FTSE_100_Index,Legal & General,LGEN,LGEN.L,Financials,Life insurance,0.0025254289729030764,94
2025-12-19,Wikipedia:FTSE_100_Index,Sage Group,SGE,SGE.L,Technology,Software & computer services,0.0024942065241641592,95
2025-12-19,Wikipedia:FTSE_100_Index,Experian,EXPN,EXPN.L,Industrials,Support services,0.002463660581318251,96
2025-12-19,Wikipedia:FTSE_100_Index,IMI,IMI,IMI.L,Industrials,Industrial engineering,0.002433770309570992,97
2025-12-19,Wikipedia:FTSE_100_Index,Burberry Group,BRBY,BRBY.L,Consumer Discretionary,Personal goods,0.0024045157025013937,98
2025-12-19,Wikipedia:FTSE_100_Index,Next plc,NXT,NXT.L,Consumer Discretionary,General retailers,0.002375877541839032,99
2025-12-19,Wikipedia:FTSE_100_Index,Whitbread,WTB,WTB.L,Consumer Discretionary,Retail hospitality,0.0023478373595417395,100
